City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
273,Cidreira,BR,-30.1811,-50.2056,68.77,94,98,15.82,overcast clouds
274,Bundaberg,AU,-24.85,152.35,75.49,69,40,5.99,scattered clouds
275,Coihaique,CL,-45.5752,-72.0662,42.75,81,0,2.3,clear sky
276,Svetlogorsk,BY,52.6333,29.7333,52.12,96,100,10.78,overcast clouds
277,Kopavogur,IS,64.1123,-21.913,41.22,82,75,11.5,broken clouds
278,Richards Bay,ZA,-28.783,32.0377,75.99,67,88,12.08,overcast clouds
279,Kurumkan,RU,54.3,110.3,10.83,45,97,7.38,overcast clouds
280,Vestmannaeyjar,IS,63.4427,-20.2734,44.37,65,100,18.45,overcast clouds
281,Praia,CV,14.9215,-23.5087,73.94,88,0,4.61,clear sky
282,Takab,IR,36.4009,47.1133,50.22,63,85,9.37,overcast clouds
283,Touros,BR,-5.1989,-35.4608,76.1,82,14,7.83,few clouds
284,Mehamn,NO,71.0357,27.8492,33.71,75,100,13.27,overcast clouds
285,Mareeba,AU,-17.0,145.4333,81.45,65,19,9.86,few clouds
286,Meiganga,CM,6.5167,14.3,72.07,78,51,3.78,broken clouds
287,Raudeberg,NO,61.9875,5.1352,43.86,90,100,1.01,overcast clouds
288,Rawson,AR,-43.3002,-65.1023,55.13,44,0,16.49,clear sky
289,Parakou,BJ,9.3372,2.6303,76.51,78,98,4.9,overcast clouds
290,San Patricio,US,28.017,-97.5169,58.86,80,0,6.33,clear sky
291,Auki,SB,-8.7676,160.7034,80.13,81,97,3.53,overcast clouds
292,Peniche,PT,39.3558,-9.3811,52.61,79,0,13.35,clear sky
293,Porto Novo,BJ,6.4965,2.6036,75.02,84,100,3.29,overcast clouds
294,Tahe,CN,52.3333,124.7333,27.52,25,100,8.21,overcast clouds
295,Amapa,BR,1.0,-52.0,70.3,99,90,2.06,overcast clouds
296,Kimbe,PG,-5.5502,150.1429,81.37,80,100,5.46,light rain
297,Coracao De Jesus,BR,-16.6853,-44.365,66.52,95,100,0.54,overcast clouds
298,Guerrero Negro,MX,27.9769,-114.0611,63.93,90,4,7.27,clear sky
299,Pandharpur,IN,17.6667,75.3333,87.46,46,69,10.4,broken clouds
300,Sola,VU,-13.8833,167.55,79.47,83,75,2.3,moderate rain
301,Bacolod,PH,10.6667,122.95,83.59,78,100,1.07,overcast clouds
302,Binzhou,CN,37.3667,118.0167,73.27,52,27,10.94,scattered clouds
303,Saskylakh,RU,71.9167,114.0833,13.17,91,100,17.85,overcast clouds
304,Baragaon,IN,25.4333,82.8167,85.98,37,100,1.14,haze
305,La Ligua,CL,-32.4524,-71.2311,47.98,82,0,1.34,clear sky
306,Los Llanos De Aridane,ES,28.6585,-17.9182,65.12,79,90,8.01,overcast clouds
307,Ahuimanu,US,21.4447,-157.8378,77.94,74,22,17.96,few clouds
308,Sisimiut,GL,66.9395,-53.6735,26.11,75,100,16.15,overcast clouds
309,Alihe,CN,50.5667,123.7167,31.8,33,100,8.16,overcast clouds
310,Xiamen,CN,24.4798,118.0819,80.65,69,0,6.71,clear sky
311,Kaitangata,NZ,-46.2817,169.8464,50.7,77,77,3.51,broken clouds
312,Tabou,CI,4.423,-7.3528,77.88,85,4,4.74,clear sky
313,La Rioja,ES,42.25,-2.5,38.48,98,100,5.77,overcast clouds
314,Wuchang,CN,44.9143,127.15,57.88,54,9,8.39,clear sky
315,Haines Junction,CA,60.7522,-137.5108,13.95,85,100,2.3,overcast clouds
316,Saint-Georges,GD,12.0564,-61.7485,79.32,81,34,13.42,scattered clouds
317,Tawang,IN,27.5833,91.8667,56.1,29,2,7.9,clear sky
318,Zaysan,KZ,47.4667,84.8667,17.29,51,2,3.74,clear sky
319,Homer,US,59.6425,-151.5483,35.04,93,96,4.61,overcast clouds
320,Caravelas,BR,-17.7125,-39.2481,72.84,90,46,3.71,heavy intensity rain
321,Safford,US,32.834,-109.7076,61.34,40,0,3.69,clear sky
322,Tonj,SS,7.2737,28.6822,85.51,53,28,3.6,scattered clouds
323,Priargunsk,RU,50.3691,119.1012,23.0,27,100,13.22,overcast clouds
324,Gore,NZ,-46.1028,168.9436,52.23,67,81,4.47,broken clouds
325,Kirakira,SB,-10.4544,161.9205,80.89,76,14,3.15,few clouds
326,Sorland,NO,67.667,12.6934,42.91,84,100,13.31,overcast clouds
327,Urubicha,BO,-15.3833,-62.95,70.83,96,56,3.15,broken clouds
328,Mataram,ID,-8.5833,116.1167,79.61,73,100,2.93,overcast clouds
329,Codrington,AU,-38.2667,141.9667,72.82,69,2,6.6,clear sky
330,Pangnirtung,CA,66.1451,-65.7125,11.07,79,95,6.96,overcast clouds
331,Vanimo,PG,-2.6741,141.3028,83.48,72,73,6.98,heavy intensity rain
332,Ternate,ID,0.8,127.4,84.58,70,97,2.57,overcast clouds
333,Ballina,AU,-28.8667,153.5667,69.76,68,90,9.22,light rain
334,Chunskiy,RU,56.0815,99.6342,17.98,47,100,10.63,overcast clouds
335,Dondo,MZ,-19.6094,34.7431,88.54,48,8,3.29,clear sky
336,Marawi,PH,7.9986,124.2928,76.64,83,100,3.06,overcast clouds
337,Alta Floresta,BR,-9.8756,-56.0861,70.61,97,100,2.51,overcast clouds
338,Broome,US,42.2506,-75.833,32.54,78,9,4.0,clear sky
339,Tarko-Sale,RU,64.9225,77.785,32.29,97,100,17.96,light snow
340,Kemijarvi,FI,66.7131,27.4306,34.48,99,100,1.92,light rain
341,Aykhal,RU,66.0,111.5,6.76,89,100,32.53,overcast clouds
342,Kysyl-Syr,RU,63.8986,122.7617,1.98,88,100,9.24,overcast clouds
343,Pampa,US,35.5362,-100.9599,44.19,87,1,10.36,clear sky
344,Grand Forks,US,47.9417,-97.4337,38.59,83,5,11.99,clear sky
345,Cumberland,US,35.0502,-78.8664,41.18,94,1,3.0,clear sky
